,Tracking Number,Description/Basis for Appeal
168,EPA-R5-2013-003139,"To Whom It May Concern:

Through the Freedom of Information Act, I would like to obtain the following:

A listing of all active and closed Underground Storage Tank facilities located on Indian Land, for Region 5.

I would like the listing on CDRom or by email in Excel or format.  

Information I would like is:

Facility Name           
Facility Address        
Facility city
Facility state
Facility zip
County
Owner            
Owner address
Owner City    
Owner state
Owner zip      
Ownership Type       
Last Insp Dt   
SOC   
Tank Closed 
Tank substance
Number of Tanks     
Facility Status           
Tribe name

I guarantee payment of cost up to $25.00.  If the cost will exceed this amount, please let me know.

Thank you for your assistance"
169,EPA-R4-2013-008804,"Pursuant to the federal Freedom of Information Act, 5 U.S.C. § 552, I request access to and copies of all documents regarding violations at Calgon Carbon Corporation's Big Sandy facility (EPA ID number KYD005009923) stemming from the EPA's inspection of the facility on September 20 and 21, 2005. This includes but is not limited to a Notice of Violation sent to the facility on January 22, 2007, minutes from a meeting between EPA and Calgon on April 17, 2007 to discuss the violations, written responses submitted by Calgon in May and June, 2007, the EPA's response, minutes from a meeting between EPA and Calgon on December 10, 2007, a January 5, 2010 letter sent by EPA to Calgon regarding carbon reactivation residues at the plant, a July 19, 2010 request from EPA to Calgon for testing data and analysis, results of that testing submitted to the EPA, documents generated by a September 2010 inspection of the facility, an April 2, 2012 determination by the EPA regarding the testing, and minutes from an April 11, 2012 meeting between the EPA and the company regarding a settlement and any additional testing.
I would like to receive the information in electronic format.
I agree to pay reasonable duplication fees for the processing of this request in an amount not to exceed $100. However, please notify me prior to your incurring any expenses in excess of that amount.
If my request is denied in whole or part, I ask that you justify all deletions by reference to specific exemptions of the act. I will also expect you to release all segregable portions of otherwise exempt material. I, of course, reserve the right to appeal your decision to withhold any information or to deny a waiver of fees.
As I am making this request as a journalist and this information is of timely value, I would appreciate your communicating with me by telephone, rather than by mail, if you have questions regarding this request."
170,DOC-OS-2013-000937,"I am requesting a copy of Office of Administratrative Services budget ""Working Capitol Fund"" from 2003 - 2008 for the following apropriations: Facilities Services Division - 0148000; Real Estate - 0147000; Reimbursable Alteration - 0166000; Recurring Repairs - 0183000"
171,EPA-R10-2014-008486,"Please provide any and all documents related to 5975 East Marginal Way S., Seattle, WA (Parcel No. 1924049075).  

For the purpose of aiding in the search for records, a non-exhaustive list of entities that may have been associated with the property includes Kaiser Cement, Glacier Sand & Gravel, Lone Star Northwest, and Glacier Northwest.

Please exclude the following documents in EPA's response to this request:  (1) the Section 104(e) responses of Kaiser Cement and Glacier Northwest; (2) the RI/FS documents prepared for the Lower Duwamish Waterway Superfund Site; (3) any documents referring to the above referenced entities relating to other properties not identified above; and (4) any other documents currently available on the EPA?s Lower Duwamish Waterway Superfund Site website or the Department of Ecology Toxics Cleanup Program Lower Duwamish Waterway website.

After you perform an initial search, please contact me to discuss the results and the estimated cost to fulfill the request."
172,EPA-R5-2014-007483,"Looking for information, reports, permits, etc. related to a property on the FINDS database.  The property is: Kramer Elementary School, Sycamore and Locust Streets (also 400 West Sycamore Street), Oxford, Ohio 45056.  Registry ID: 110008640523."
173,EPA-R2-2014-007535,"Re: FOIA Request - PFE-TV-2051-70-0611-0368

This is a request under the Freedom of Information Act for information related to Holsum de Puerto Rico, Inc.?s (?Holsum?) Title V operating permit application, PFE-TV-2051-70-0611-0368, and the Draft Permit circulated by Puerto Rico Environmental Quality Board (?EQB?).

We hereby request a copy of all documents, reports, analysis, opinions and communications in the administrative record related to Holsum?s PFE-TV-2051-70-0611-0368 application pending before the EQB.  In particular, we requests any reports, records, reports, analysis, opinions or communications related to the applicability of Part VI of EQB?s Regulation for the Control of Atmospheric Pollutants (the ?EQB Regulation?), i.e., EQB?s Title V Permit Program, including any that considers the results of the stack tests conducted by Holsum which show that the facility is not a major source of Volatile Organic Compounds. 

We also request copies of any comments made by the Environmental Protection Agency in relation to the Draft Permit provided by EQB under Rule 609 of the EQB Regulation."
174,EPA-R6-2014-006656,"CAFO Permits issued and active in New Mexico. Simply a data download of permit holder name, address, city, county, zip code and animal head count."
175,EPA-R4-2013-007710,"RE: Records of Violations/Environmental Concerns:     
        
    Starwood Amphitheater   
    South Quadrant of Murfreesboro Pike and Hobson Pike   
    Antioch, TN 37013     

    Nearest Address (Northeast):  
    3820 Murfreesboro Rd.   
    Antioch, TN 37013    

Dear Sir/Madam:    
Hillmann Environmental Group, LLC is conducting an environmental investigation of the above referenced property.  Under the Freedom of Information Act, we are requesting any information your office has regarding this property.  If any records are located, we would like to obtain copies or schedule a file review.  If no records are available, please contact me to confirm.  Thank you."
176,EPA-R3-2013-008065,"I would like to request the Notice of Violation issued by the EPA for NSR violations under the Clean Air Act, which resulted in a Consent Decree between the parties for:

- Conoco Phillips Global Refinery: Consent Decree Entered: 1/27/2005; NOV for violations at the Trainer, PA location

I DO NOT NEED PAPER COPIES! Electronic versions would be perfect and much appreciated.
J."
177,EPA-R3-2014-001962,"2341 Ontario Road, N.W. 
Washington, D.C. 20009
ECC Project #13-11458

ECC is currently performing a Phase I Environmental Site Assessment for the above-referenced location. In order to completely understand the environmental history of the referenced site, ECC would appreciate any and all information you can provide regarding previous reports of dumping or other environmental issues, and previous or pending enforcement actions for this location. 

ECC understands there may be fees associated with this request.  ECC is authorizing charges up to $25.00. Please notify our office prior to incurring any fees above that amount. ECC would like to thank you for your cooperation in this matter. Should you have any questions regarding this request, please do not hesitate to contact me via email lsalcantara@eccfirst.com or via phone (703) 327-2900."
178,CBP-2014-014666,"This letter constitutes a request (\Request\"") pursuant to the Freedom of Information Act"
185,EPA-R2-2014-003460,"Any and all United States Environmental Protection Agency records including those related to bulk
storage tanks, oil tanks, spills, chemical storage (pesticides, herbicides), underground injection
control structures, septic systems, asbestos, lead, mold, any reported violation, incident or
completed environmental study for a property located at 90-36 & 90-40 150th Street, Queens, New York
11435. The subject property is identified as Block 9679, Lot 67."
186,EPA-R9-2014-004523,"We would like to request any information your office has regarding any environmental documents, underground storage tanks (USTs) or hazardous materials for the property listed below.  If any records are located, we would like to obtain copies or schedule a file review.  If no records are available, please contact me to confirm. Thank you for your assistance. 

42050 Main Street, Temecula, CA 92590"
187,EPA-HQ-2014-002563,"Hello, I am writing to initiate a FOIA request for an excel file that contains grants awarded during FY2014 with the following fields. 

Requested Fields: Name of the Principal Investigator, Federal Award ID, Title, Funding Amount, Obligation Date, and the Start and End Dates for FY-2014 grants. 

These fields are all available at usaspending.gov except for the Principal Investigators name which is the primary reason for this request. For your reference the same request was made and completed last year for FY2013 grants and was assigned EPA-HQ-2014-002563.

In order to help to determine my status to assess fees, you should know that I am affiliated with a private corporation and seeking information for use in the company's business.

Thank you for your consideration of this request.
Sincerely,
Tara Brogan
Director of Database Production
Academic Analytics"
188,DOC-PTO-2013-001510,"I am requesting any and all correspondence between the office of Rep. Louie Gohmert (R-TX) and the Department of Commerce's patent and trademark office from Jan. 1, 2005 to the present."
189,EPA-HQ-2014-002406,"Please provide me with the DERs for the following 3 studies: 
49168503 Van Hoven, R. ; Bodle, E.  (2012) Residue in Food Commudities Following Application of a Pressurized Liquid (Aerosol) Formulation of Alpha-Cypermethrin As A Crack and Crevice Treatment and Spot Treatment in a Simulated Food Handling . Project Number: 465C/108 41721A007. Unpublished study prepared by Wildlife International Ltd. and Landis International, Inc.. 265p.  

48034903 Hummel, R. (2009) Residue in Food Commodities Following Application of a Liquid Formulation of Novaluron as a Space Spray Treatment in a Simulated Food Handling Establishment.  Project Number: 14521A008, 860/1460/09/145/215.  Unpublished study prepared by Landis International, Inc.  156 p.                                             

48707102 Hummel, R. (1900) Residue in Food Commodities following Application of a Pressurized Liquid (Aerosol) Formulation of Dinotefuran as a Crack and Crevice Treatment, Spot Treatment and General Treatment in a Simulated Food Handling Establishment.  Project Number: 41721A006, 860/1460/10/417/21S/06.  Unpublished study prepared by Landis International, Inc.  151p."
190,EPA-R2-2013-005439,"Site: 205 Taaffe Place, Brooklyn, NY 11205 Block 1925, Lot 24

Records that would be pertinent to performing a Phase I Property Assessment. This includes records of underground storage tanks, above ground storage tanks, clean ups, spills, sampling, remedial activities, hazardous material storage, or any engineering or institutional controls on the subject site."
191,EPA-R2-2013-002072,"Requesting a name, address, city, state, zip listing of all active (2008 to present) NPDES permittees in Puerto Rico for construction and for industry."
192,EPA-R5-2015-003070,"For the purpose of completing a Phase I Environmental investigation I am requesting any documentation the agency has regarding the Indiana Steel & Wire company located at 2200 and 2107 East Jackson Street, Muncie, Indiana 47303. Other names associated with the property and owner include Mock's Pond, Mock's Pond Landfill, and the Former Jackson Street Landfill. Thanks for your time and effort!"
193,EPA-HQ-2012-001084,"Requesting a copy of all correspondence between Dow Chemical and EPA regarding regulation of chylorpyrifos over the past five years and the EPA OIG reports, memoranda, etc, regarding the 2007 consent decree requiring a health assessment of chlorpyrifos"
194,DOC-CEN-2014-001514,Request a digital/electronic copy of the most recent Census Bureau Communications Plan.
195,EPA-R5-2014-002776,"AEI is requesting information on the property at 3419 South East Street, Indianapolis, Indiana 46227.  This property has been identified as a Resource Conservation and Recovery Act Non-Generator (RCRA-NonGen) Site and Indiana Manifest Site. The EPA ID number for this property is IND 102238284.  AEI is requesting copies of any documentation pertaining to inspections, violations, hazardous materials spills, releases or responses, aboveground and underground storage tank releases or excavations or any other conditions that may involve the environmental integrity of the subject property.  Please contact me with any questions."
196,EPA-R3-2013-004217,"REQUEST FOR INFORMATION AND ACCESS TO PUBLIC FILES
FORMER AMES STORE
8107 GOVERNOR RITCHIE HIGHWAY  
TAX MAP 16, GRID 22, PARCEL 868
OWNER:  COLONIAL ASSOCIATES, LLP
PASADENA, ANNE ARUNDEL COUNTY, MARYLAND 
WHITESTONE PROJECT NO.: EP1111724.003

Whitestone Associates, Inc. is conducting a Phase I Environmental Site Assessment at the above-referenced location.  Pursuant to the Public Information Act, Whitestone requests the opportunity to access, review, and copy any available files addressing or pertinent to environmental investigations, underground storage tanks (USTs), potable water wells/septic systems, corrective actions, contaminant releases, incidents, fires, hazardous materials storage, citations, notices of violation, or other areas of concern at the above referenced property.

PROJECT NARRATIVE

The subject property is an approximately 16.8 acre portion of an existing shopping center and is occupied by a former Ames retail store.  Whitestone understands that proposed site activities will include redevelopment of the existing structure for a Big Box retail store."
197,EPA-R3-2013-006280,"Dear Sir or Madam:

Please send me any information regarding the Former Frankford Arsenal (FFA) located in Philadelphia, PA, and also any information regarding the following addresses surrounding the FFA location: 
2251 Fraley Street (Simonds Abrasive Company)
5400 Eadom Street 
5400 Tulip Street 
5590 James Street 
5701 Tacony Street (Deitz & Watson)
Of utmost interest are any materials spills, environmental violations, UST/AST information, licenses, etc. because my company is continuing an environmental investigation of the area. Thank you very much for your time.

Sincerely,

Laura Abdi
Geophysicist / ES&H Specialist

Environmental Services Division
ERT, Inc.
6100 Frost Place, Suite A
Laurel, Maryland 20707
Office: 301.361.0620   Direct: 301.323.1445
Fax: 301.361.0659   www.ertcorp.com"
198,EPA-HQ-2014-001310,"MSCI is a nonpartisan organization that compiles and analyzes information on social issues for institutional investors interested in environmental stewardship practices of publicly traded companies. Pursuant to the Freedom of Information Act, we request that EPA provide MSCI with the most updated database of all the PRP notifications that have been mailed by EPA as part of the Superfund Site Enforcement Tracking System during the year 2012.  
The data should include the following fields:
?The related CERCLA site name (i.e., the ?SITE_NAME? field)
?A field identifying whether the CERCLA site is a National Priorities List (NPL) site (i.e., the ?NPL_STATUS? field)
?PRP name (i.e., the ?PARTY_NAME? field)
?PRP address (i.e., the ?STREET1?; ?STREET_2?; ?STREET_3?; ?CITY?; ?STATE?; and ?ZIP_CODE? fields)
?The date the Special Notice Letter was issued (i.e., the ?SNL_DATE? field)
?The date the General Notice Letter was issued  (i.e., the ?GNL_DATE? field)
?The C3_SITE_ID field
?The NOTICE_LET field
?The SETL_DATE field
?The SETL_NAME field
Also, if available, please include SIC code and CUSIP for each violator.
We respectfully request this data be made available in Microsoft Access or Microsoft Excel format. If these formats are not feasible please provide the data in tab-delimited-text or ASCII delimited format. We also respectfully request the most recent documenter report for this data, featuring a list of field definitions as well as all other relevant documenter report elements.
Please notify me if the costs that MSCI ESG Research has to pay for this information exceed $50.  MSCI has requested and received this data from EPA for all years since 1988 for independent research purposes ? please notify me if the requested data is not available this year. Also please notify me if this data can now be attained over the Internet.
Thank you in advance for your help.
Sincerely,
MSCI ESG BISR"
199,EPA-R2-2013-003117,"I am requesting the following documents with respect to the Bridgeport Rental and Oil Services, Inc. Superfund Site in Logan Township, New Jersey: 
  
1.       A copy of Olin Corporation?s response to the 104(e) information Request at the  Bridgeport Rental and Oil Services, Inc. Superfund Site in Logan Township, New Jersey.  Olin submitted a s response on April 28, 1983.  I have attached the cover letter.   I am requesting copies of the documents that were attached to the April 28, 1983  letter referenced in Point 7 on page 2 (?The agreements and documents are numbered sequentially from 1 to 29?); and 
  
2.       Any  remedial investigation/feasibility study and closure reports  associated with the 1984 Record of Decision on the Lagoon, Tank Farm and Wells, and the removal of the 100+ tanks between 1987 and 1988. 
  
Thank you for your cooperation."
200,EPA-R9-2013-002966,"As part of a Phase 1 Environmental investigation, I would like to review any and all records you have for the above-referenced property pertaining to the following:

?	Current or historical use of hazardous materials and/or hazardous waste
?	Current or historical underground/aboveground storage tanks (USTs/ASTs)
?	Current or historical clarifiers, oil/water separators, grease traps, interceptors
?	Violations or Notices to Comply"
201,EPA-HQ-2010-000020,"any and all records concerning Mark Wrigley in relation to a Notice of Proposed Debarment issued by the U.S.E.P.A. in EPA case No. 08-0113-02A on October 21, 2009."
202,EPA-R6-2014-008203,"Regulatory File Request

SST Truck Company
4040 Forest Lane
RCRA Corracts TXD007331002
RCRA Generator TX7170022487

Aloe Vera of America
802 Easy Street, Suite A
RCRA Generator TXD000007534

Lakeland Labs
802 Easy Street, Suite B
RCRA Generator TXD007503279

Headway Research
708 Easy Street
RCRA Generator TXD026492116

Worldwide Reclamation
720 Easy Street
RCRA Generator TXR000013805

Bway Manufacturing
3737 Miller Park Drive
RCRA Generator TXD005550751"
203,EPA-HQ-2014-004647,"Under the provisions of the Freedom of Information Act, I am writing to request a copy of the sanitized consent agreement issued under Section 5 Manufacturing and Processing Notices of the Toxic Substances Control Act (TSCA) for (1) The chemical substances identified generically as partially fluorinated alcohol substituted glycols (PMN P-10-58, P-10-59, and P-10-60).

Thank you in advance for your assistance.

Regards,
Saadia"
204,CBP-2015-000258,The description of this request is under Agency review.
205,EPA-R6-2014-010411,"I'm requesting records related to the Texana Tank Car & Manufacturing Ltd. facility located at Churchill Drive, Nash TX 75569. The facility EPA ID# is 1000150983. Specifically, I'm interested in records pertaining to groundwater contamination and the facility status as a CORRACTS facility under ID# TXD043195221."
206,EPA-R3-2013-002712,"Freedom of Information Act Request 
Embrey Mill 
Stafford County, Virginia 22554
ECC Project #12-11088


ECC is currently performing a Phase I Environmental Site Assessment for the above-referenced location. In order to completely understand the environmental history of the referenced site, ECC would appreciate any and all information you can provide regarding previous reports of dumping or other environmental issues, and previous or pending enforcement actions for this location. 

ECC understands there may be fees associated with this request.  ECC is authorizing charges up to $25.00. Please notify our office prior to incurring any fees above that amount. ECC would like to thank you for your cooperation in this matter. Should you have any questions regarding this request, please do not hesitate to contact me via email lsalcantara@eccfirst.com or via phone (703) 327-2900."
207,DOC-NTIS-2014-000404,The description of this request is under Agency review.
208,EPA-R2-2013-010235,"We are looking for a document related to the Bridgeport Rental and Oil Services site in Bridgeport, NJ. It is a site investigation produced by the Environmental Monitoring Systems Laboratory in March of 1982, prepared under contract 68-03-2844 by the Bionetics Corporation for EPA Region 2. We need this very urgently and are willing to pay for expedited processing. I have attached the title page for refere,ce."
209,EPA-HQ-2015-003272,"As authorized representatives of Kop-Coat, toXcel is requesting electronic copies of the complete, non-sanitized, FIFRA registration jackets, containing materials (data matrices, labels, science reviews, risk assessments, etc.) supporting the registrations of the Kop-Coat products listed below. The requested files would be used to assist Kop-Coat fulfill the requirements of the data call in for the reregistration of these products. The jackets would be most useful in PDF format. The product manager, PM 34 Julie Chao, directed us to request the files through FIOA. A letter of authorization, identifying toXcel as authorized representatives is attached. 

60061-10
60061-12
60061-14
60061-31
60061-43
60061-49
60061-50
60061-54
60061-57
60061-58
60061-63
60061-34
60061-66
60061-71
60061-79
60061-86
60061-87
60061-94
60061-95
60061-101
60061-111
60061-117
60061-125
60061-129
60061-132
60061-135"
210,EPA-R4-2014-004515,"I have a FOIA request to make on Behalf of KDEP in regards to the Stewart/Jewell/Kessinger PCB Burn sites specifically the Steamboat-Keene Road Property (Kentucky AI# 52018) EPA CERCLIS ID: KYD985066505 in Daviess County Kentucky.  At one time these were 5 sites that were considered one due to the PRP involvement.   I am under the impression that either KDEP or EPA split the sites out and gave them separate IDs.  

Any information regarding this site will be helpful in my review for the PASI grant work this agency is conducting for US EPA Region IV.  Feel free to give me a call if clarification is needed."
211,EPA-R2-2013-008644,Re: 505 Haddon Avenue in Collingswood there are wells in place. What are any and all issues with this location? What is the status of the findings of the monitoring of the wells? We have a buyer interested in purchasing but we need to know where the land stands as far as contamination before he will make an offer.
212,DOC-OS-2013-000418,The description of this request is under Agency review.
213,EPA-R8-2014-001944,"I'm closing on a house and I need these records by December 26th, my contract objection deadline for the contract.  Address is 340 S. Lafayette St., Denver, CO. 80209
-ANY environmental problems at this property.  
-ANY inspections at this property?  
-Was property used as, situated on or adjoining a dump, landfill or municipal solid waste land fill?   
-Any monitoring wells or test equipment, if so what for?
-Mine shafts, tunnels, or abandoned wells?
-Within a governmentally designated geological hazard or sensitive area (if so what)?
-Were environmental assessments, studies or reports done involving the property (if so what)?
-Any other environmental problems you are aware of?"
214,EPA-HQ-2014-008041,"Hello,

I am a PhD student from Robert Gordon University, Scotland, and my research topic is estimating uncertainty in existing methodology in GHG emission for Iron and steel sector of USA.

Research Scope and Objective:
This research will study the existing methodology for estimating GHG emission of Iron and steel sector in USA. In the process, research will highlight the shortcomings and drawbacks in the methodology and finally come with alternative methodology.

It is observed that the existing methodology suggested by UNFCCC (production based) has many shortcomings as it do not cover the whole life cycle of the product. This aspect ignores majority of the emissions caused due to imports.  Alternative methodology is consumption based which accounts all emissions taking place within and outside the country and both upstream and down stream emission. 
More descriptions about the methodology and anomalies are described in the appendix (FOI-US) attached.

Questions:

1.      Are the organizations (EPA, Energy department and ministers) involved in GHGI aware about the serious short comings of the production or region based approach?
2.      If yes, then what steps organizations are taking to make a transition in methodology?
3.      Has USA highlighted this anomaly in methodology to UNFCC, IPCC and other governing bodies to incorporate more robust and modern methodology instead of using something outdated or something that gives false result.
4.       It is also observed that most of the GHG inventory data and especially Iron and steel sector is out sourced to Ricardo AEA. It is difficult to get actual calculation of emission estimation by Ricardo AEA. Is it possible to get hold of those calculations done by Ricardo AEA with the detail of input data used?"
215,EPA-R4-2014-007328,"I am requesting EPA documentation on any and all testing done at a social security administration facility located at 3577 Bluecutt rd in Columbus MS. This office is temporarily closed supposedly due to some sewer and possible mold problems. Since the subject of the requested records concerns the operations or activities of a government agency, I am requesting a waiver of the fee and expedited processing since re-entry into the building by the employees could pose a threat to their physical safety if the report indicates a problem with the air quality in the building."
216,EPA-R6-2013-001104,"All documents concerning Union Pacific Railroad Company property in North Little Rock, Arkansas relating to spills, releases, or disposal of deisel fuel or other hazardous substance that is or may be migrating off site, including a 2008 diesel fuel spill caused by a train derailment in December 2008, and an on site fuel line leak"
217,EPA-R5-2013-005155,"Facility name: Motorola Inc.
Facility Address: 1900 West Winchester Road, Libertyville, IL 60048
ID: 1000179017

This was a RCRA generator: two records of Large Quantity and one record of Conditionally Exempt Small Quantity; I request any information on these historical generators."
218,EPA-R5-2015-001080,"We are conducting a Phase I at 1908 and 1950 Stout Field West Drive, Indianapolis, IN. and need to know if have any records on these sites."
219,EPA-R6-2014-007924,"Hello 

Through an FOIA Request, I am requesting the following for all of Region 6 in Excel format. 

A listing of Underground Storage Tank Site locations on Indian Land. 

Information I would like is: 

Deetail file: 
AltFacilityID LocName Expr1002 Owner Name TankID TankStatusDesc DateReceived TankCapacity SubstanceDesc DateLastUsed DateClosureReceived DateClosed ClosureStatusDesc SiteAssessment LeakDetected TankMatDesc TankModsDesc TankOtherMaterial TankRepaired TankNoFee TankManualGauge TankTightness TankInventoryControl TankATG TankVaporMonitor TankGWMonitor TankInterstitialDblWalled TankInterstitialSecondContain TankSIR TankLDOther TankLDDeferred TankLDNotListed PipeMatDesc PipeModDesc PipeOtherMaterial PipeRepaired PipeTypeDesc PipeAutoLineLeakDetection PipeLineTightness PipeVaporMonitoring PipeGWMonitoring PipeInterstitialDblWalled PipeInterstitialSecContain PipeSIR PipeLDOther PipeLDDeferred PipeLDNotListed LDOtherMethods OverfillInstalled SpillInstalled CPMet LicenseeID ContractorID CertifyTankPipe CertifyAgency CertifyInspectionEngineer CertifyInspectionAgency CertifyInstalledManufacturer CertifyInstalledOtherMethod CertifyOtherInstalled DateSigned DateInstalled TankCorrosionProtectionFRP TankCorrosionProtectionImpressedCurrent TankCorrosionProtectionSacrificialAnodes TankCorrosionProtectionInteriorLining PipeCorrosionProtectionFRP PipeCorrosionProtectionImpressedCurrent PipeCorrosionProtectionSacrificialAnodes PipeCorrosionProtectionInteriorLining DateOfTankStatusChange LeakDetectedOrCleanClosure Tribe 


General file: 
Facility Name AltFacilityID LatDeg LatMin LatSec LongDeg LongMin LongSec Street Address tblFacility.City tblFacility.STATE tblFacility.ZIP ZIP Linkage County Tank Counts Facility Description Owner Name Phone Address tblOwner.City tblOwner.STATE tblOwner.ZIP Contact 



Thank you

Christian Ampuero
christiana@reccheck.com
714-669-8096 EXT 1110"
220,EPA-R2-2014-007333,"Any and all United States Environmental Protection Agency records including those related to bulk storage tanks, oil tanks, spills, chemical storage (pesticides, herbicides), underground injection control structures, septic systems, asbestos, lead, mold any reported violation, incident or completed environmental study for a property located at 4 Westchester Park Drive (4 Gannett Drive), West Harrison, New York 10604."
221,NARA-NGC-2013-000239,"I hereby request a copy of the following documents identified to contract NANA09F0015:

 1) Task Order with applicable SOW/PWS, applicable pricing, and any modifications or orders issued there under."
222,DOC-NOAA-2013-000669,"This is a request under the Freedom of Information Act.  I hereby request the following records:

Copies of contracts with Booz Allen Hamilton over the past 5 years.
Any final reports generated and delivered by Booz Allen Hamilton to the agency over the past 5 years

I also request that, if appropriate, fees be waived as I believe this request is in the public interest. The requested documents will be made available to the general public free of charge as part of the public information service at MuckRock.com, processed by a representative of the news media/press and is made in the process of news gathering and not for commercial usage.

In the event that fees cannot be waived, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires."
223,EPA-R5-2014-007072,"I am requesting any available RCRA information on the following facility:

- ILR000034116    ILDOT, RTE 9 WEST A, Tremont, IL 61568.

This information is being used for a road enhancement project for the Illinois Department of Transportation."
224,EPA-HQ-2014-004837,"I am a Supervisor at Sigma-Aldrich Corporation, a Life Sciences and High Technology company headquartered in St Louis, MO.  We are auditing our TSCA compliance at all of our US facilities which includes sites we have acquired over the last decade.  In order that we have the information we need for this audit, we request all information related to TSCA submissions made by Sigma-Aldrich.

We request that EPA provide us with all PMN?s, LVE?s and LOREX documents filed by the following entities:
Sigma-Aldrich
Sigma
Aldrich
Epichem
Supelco
Isotec
Carbolabs

for the period Jan 1, 1980 to Dec 31, 2013.

Please also provide any supporting documentation that EPA may have for those notifications.  Please contact me with any questions about this request."
225,EPA-R4-2013-007271,"650 Hickman Circle
Sanford, FL 32771

Hillmann Consulting, LLC is conducting an environmental investigation of the above referenced property.  Under the Freedom of Information Act, we would like to request any information your office has regarding this property.  If any records are located, we would like to obtain copies or schedule a file review.  If no records are available, please contact me to confirm.  Thank you for your assistance."
226,EPA-HQ-2013-000573,"Requesting authentication of EPA record regarding Asbestos Exposure - Brakes and Ambient (October 17, 1985)."
227,EPA-HQ-2014-006701,"Hi 

I would like to request a listing of voluntary cleanup priority sites located on Indian Land located in Region 10.

Christian Ampuero| ERS Database
P: (714) 669-8096 EXT: 1110  |  F: (714) 669-8025
Cell: (714) 669-8025 
christiana@reccheck.com  I  www.reccheck.com"
228,EPA-R5-2014-002630,"In support of a Voluntary Action Program (VAP) Phase 1 Property Assessment, URS is requesting all public records pertaining to the following property:
Former Edwards Cleaners at Troy Towne Center
1845 West Main Street
Troy, Miami County, Ohio 45373

Electronic copies are preferred."
229,EPA-R1-2013-008997,"To Whom it May Concern: 

I am requesting copies of files for the below listed address under the Freedom of Information Act (FOIA): 

100 Washington Street, Milford, Connecticut 06460 

This inquiry is for any information on or relating to building/construction permits, underground storage tanks, aboveground storage tanks, septic systems, water supply wells, spills/releases of hazardous materials, asbestos containing materials, lead based paint, on-Site waste disposal, polychlorinated biphenyls (PCBs), ionizing radiation/radon surveys, emergency response actions related to environmental issues, and/or any other activities that would indicate environmental impairment. I am looking for both historical and current information. 

Please contact me at (860) 747-1800 ext. 234 to discuss what files may be available (via hard or electronic copy), and if appropriate, an estimate for the copy charges or information about making an appointment to review the files. I understand that there may be a charge for the copying of any requested files. Please note we must receive and approve of any estimate prior to your agency incurring costs for copying. Please contact me if you have any questions regarding this request. Thank you for your assistance! 

Yours truly, 

CONESTOGA-ROVERS & ASSOCIATES 

Alexandra Brittingham"
230,DOC-NOAA-2014-001170,"See attached, but here is a summary:

?	Any and all records NOAA Fisheries/NMFS received or created discussing the need for incidental take coverage for Oregon coast coho salmon for management of the Tillamook and/or Clatsop State Forests in Oregon since January 1, 2012, including records from or directed to any Oregon Department of Forestry (ODF) officials or employees, its counsel, any members of the Oregon Board of Forestry, the Oregon Governor or anyone in his office, or any similar person or entity. 

?	Any ?take? guidance or memoranda NOAA Fisheries/NMFS has developed for coho salmon.    

We are willing to receive responsive records on a rolling basis.

FORMAT OF REQUESTED INFORMATION

The Center would appreciate receiving responsive records in electronic PDF format that is text searchable/OCR formatted.  Specifically, we ask that you provide the records either in (1) load ready format with a CSV file index or excel spreadsheet, or if that is not possible (2) in PDF format and without the inclusion of any ?profiles? or ?embedded files.?  

Under the FOIA, you are obligated to provide documents in a readily accessible electronic format and in the format requested, see, e.g., 5 U.S.C. § 552(a)(3)(B) (?In making any record available to a person under this paragraph, an agency shall provide the record in any form or format requested by the person if the record is readily reproducible by the agency in that form or format.?).  Profiles and embedded files within files are not readily accessible with our document review software and this is why we are requesting that you provide all records as PDFs (or Word documents) instead."
231,EPA-R2-2015-000204,"Marathon Engineering & Environmental Services, Inc., (?Marathon?) is conducting a Phase I Environmental Site Assessment for the above referenced property.  In accordance with the Freedom of Information Act, we request any information the United States Environmental Protection Agency may have on file regarding illegal waste discharges, Notice of Violations, and current regulatory status of the above referenced property and contiguous properties.  Thank you for your time and cooperation.  If you have any question or comments please contact me at (856) 241-9705 or via email at kayleigh.tully@marathonconsultants.com.  We looking for anything dealing with site remediation including groundwater, soil, vapor intrusion, releases to surface water, etc. Also, any information on whether there is possible pesticide contamination from historical agricultural use."
